"gender","ethnicity","star1","math1","lunch1","school1","experience1","schoolid1"
0,1,2,538,1,3,7,63
0,1,3,512,0,3,8,5
1,1,1,532,0,3,7,50
1,1,1,584,0,3,11,69
1,1,2,545,1,3,15,79
0,0,1,490,1,1,5,16
0,1,1,493,0,4,17,48
0,0,1,481,1,2,1,51
1,0,2,567,1,2,14,51
0,1,1,567,1,3,5,56
1,1,3,484,1,3,13,8
0,0,2,461,0,3,31,11
0,1,2,507,1,3,4,66
1,1,1,567,0,3,19,38
1,1,3,512,0,3,16,69
0,1,2,532,1,4,15,10
1,1,2,584,1,2,16,43
1,1,2,512,1,3,6,71
1,1,3,572,0,2,13,52
0,0,1,497,1,2,23,21
0,1,1,538,1,3,42,63
0,1,2,502,0,3,14,77
1,1,2,545,0,3,16,79
1,1,3,557,0,4,8,9
1,1,1,484,0,3,2,1
1,1,3,463,1,3,8,66
1,1,2,515,0,4,5,59
1,1,3,502,1,4,15,60
1,0,1,567,1,1,5,27
0,0,1,510,1,2,16,17
0,1,3,627,0,4,8,9
0,1,1,553,0,3,12,39
1,1,2,578,0,3,11,55
1,0,3,481,1,1,36,33
0,1,2,449,0,2,23,51
0,1,3,500,1,3,13,70
1,1,1,497,1,3,12,50
1,0,1,493,0,2,2,23
0,0,2,497,1,3,7,5
1,0,3,493,1,1,1,29
1,0,1,458,1,4,1,37
1,1,2,572,0,3,6,50
0,0,1,523,1,3,5,68
0,1,2,510,0,3,12,70
0,1,2,542,1,3,27,40
0,1,2,526,1,4,18,9
1,1,2,538,1,4,14,48
1,1,2,601,0,4,15,10
1,0,1,567,1,1,0,45
0,1,2,592,0,3,1,64
0,1,1,567,0,3,2,80
0,0,3,510,1,1,5,28
1,1,2,612,0,2,18,41
1,1,1,538,0,3,7,50
0,0,1,490,0,1,1,22
0,1,2,510,1,3,2,40
0,0,1,526,0,1,5,27
1,1,1,578,0,2,10,61
0,1,2,497,0,2,4,21
0,1,2,542,0,3,6,8
1,1,3,526,0,4,0,48
0,1,3,472,1,4,7,2
1,1,1,512,0,3,23,3
0,1,3,545,0,3,2,47
0,1,1,474,1,4,5,2
1,0,3,495,1,3,16,11
0,1,2,578,0,3,11,35
0,0,2,627,0,2,23,24
0,0,3,553,1,1,3,27
1,0,3,477,1,1,7,33
0,1,1,584,1,3,13,7
0,1,3,481,1,3,8,5
0,0,2,472,0,1,17,30
1,1,1,486,0,2,19,46
1,0,1,484,1,1,11,15
1,1,1,518,0,3,20,49
1,0,1,486,1,1,5,16
1,1,1,493,0,3,12,39
0,1,1,601,0,2,10,61
1,0,3,518,1,1,6,22
1,1,1,553,1,3,7,50
0,1,1,520,1,2,33,21
1,1,3,470,0,2,20,17
1,0,1,444,1,1,14,31
1,1,3,532,0,3,2,39
1,0,1,520,1,1,19,33
1,1,3,612,0,3,39,12
1,1,3,601,0,3,10,1
1,0,1,592,1,1,0,45
1,1,2,578,0,3,3,78
1,1,2,601,1,3,19,39
1,0,1,500,1,1,32,33
1,0,1,493,1,1,1,22
0,0,1,510,1,1,2,28
1,0,2,477,1,1,4,32
1,1,2,592,0,2,9,4
1,1,1,532,0,2,16,17
1,0,2,500,1,2,1,44
0,0,1,510,1,1,2,16
1,0,3,512,1,3,16,7
1,0,3,495,1,1,6,28
0,1,2,535,1,3,6,71
0,0,2,520,0,2,4,23
0,1,2,495,0,3,6,71
0,0,3,502,1,2,4,24
0,1,1,549,1,3,4,71
1,0,3,497,0,2,4,54
0,1,1,557,1,3,13,73
1,0,1,497,1,2,23,21
1,1,3,507,1,2,9,25
0,1,2,557,0,2,12,61
0,1,1,526,0,3,5,56
0,1,2,502,0,3,14,75
1,0,3,497,1,4,7,2
1,1,2,545,1,4,16,48
1,0,1,436,1,2,2,52
1,1,3,557,0,3,10,67
0,1,2,502,1,2,23,54
1,1,3,553,0,3,13,70
0,1,2,515,0,3,15,79
1,1,2,529,0,4,20,9
0,0,1,567,0,3,5,68
0,0,1,526,1,2,2,24
1,1,2,549,0,3,0,47
1,1,1,572,0,3,19,64
0,0,3,439,1,2,2,51
1,0,1,505,0,1,14,53
1,1,2,567,1,3,8,13
0,1,2,592,0,3,8,66
0,1,1,567,0,3,8,13
0,1,3,592,0,3,10,1
1,0,1,477,1,1,19,33
0,0,3,510,1,1,17,14
1,1,2,439,1,3,18,7
0,1,3,529,0,3,16,69
1,0,2,538,1,1,13,19
0,1,1,542,0,3,11,57
1,1,1,535,1,3,13,7
1,0,2,520,0,1,17,30
1,0,1,493,0,2,1,51
1,1,2,592,0,3,13,65
0,1,2,505,0,3,10,57
0,1,1,578,1,2,22,43
0,1,1,500,0,2,5,36
0,1,3,557,1,3,21,79
1,0,2,529,1,1,1,45
0,0,2,461,1,1,13,19
1,0,2,578,1,1,9,22
1,0,3,446,1,1,36,33
0,1,2,542,0,4,12,60
0,1,2,584,0,3,8,3
1,1,3,592,1,2,4,51
0,0,2,520,1,3,7,64
0,1,3,502,0,3,9,68
0,0,3,488,1,1,6,22
1,1,2,572,0,3,6,8
0,1,2,535,1,3,5,12
0,1,2,502,1,4,13,37
0,1,3,454,1,3,2,39
0,1,3,529,0,3,0,77
1,0,3,490,1,1,33,16
0,1,1,526,1,3,19,64
0,0,3,535,1,1,24,27
0,1,1,479,1,3,11,11
0,0,3,479,1,1,4,16
1,1,3,549,0,3,20,3
0,0,2,538,1,1,17,27
1,1,3,592,0,3,7,72
0,1,3,601,0,3,23,34
0,1,2,627,0,2,18,41
1,0,3,676,0,3,9,3
1,1,3,518,0,4,7,48
0,1,1,510,1,4,17,48
0,1,3,557,0,3,6,71
0,1,1,612,1,3,15,72
0,0,1,538,1,2,18,25
1,0,3,520,0,2,4,24
1,0,1,532,1,4,5,2
1,1,1,497,0,3,16,75
1,0,2,477,1,1,1,45
1,1,2,545,0,3,12,50
0,1,3,545,0,2,6,58
1,0,1,481,1,1,1,22
0,0,3,549,1,1,1,29
1,1,1,601,0,3,20,49
1,1,1,505,0,2,5,36
0,1,2,545,0,3,12,62
1,1,3,612,1,2,13,52
0,1,1,526,0,2,22,43
0,0,1,572,0,2,4,20
0,1,3,512,1,3,8,66
0,1,1,470,1,3,32,12
1,1,3,439,1,2,29,61
1,0,3,451,1,2,9,25
1,0,1,502,1,3,9,74
1,1,2,493,1,3,3,78
1,1,3,542,0,3,0,77
0,0,3,549,1,1,24,22
1,1,1,526,1,3,12,50
1,0,1,484,1,1,25,27
0,1,3,542,1,3,11,57
1,0,1,529,0,2,11,20
1,1,1,553,0,4,8,59
0,0,1,518,1,1,1,22
1,1,2,601,0,3,7,63
1,0,1,526,1,1,14,53
1,0,1,481,1,1,1,28
0,0,1,502,1,2,4,20
0,1,2,532,0,3,4,56
1,0,1,520,1,1,14,31
0,0,3,523,0,4,14,10
1,1,1,562,0,2,1,52
1,1,2,532,1,3,8,80
0,1,1,572,1,3,12,3
1,1,1,592,0,3,6,34
0,0,3,458,1,1,5,28
1,1,3,497,1,3,18,75
0,0,1,484,1,1,5,27
1,0,1,444,0,2,25,23
1,0,3,507,1,1,7,53
0,0,1,557,0,2,4,20
0,1,3,518,1,3,20,65
1,1,2,567,0,2,9,58
0,0,2,532,1,3,13,49
0,0,2,562,1,2,1,44
0,0,2,500,1,1,21,26
1,1,1,497,0,3,11,57
1,1,2,523,0,2,1,44
1,0,1,612,0,2,22,43
0,1,3,486,0,3,3,55
0,1,3,502,1,4,7,48
0,1,1,535,1,3,8,65
1,1,2,490,1,3,15,63
0,0,3,542,0,2,4,24
0,1,1,454,1,2,7,44
0,1,1,515,1,3,16,11
1,0,2,477,1,1,21,26
1,0,3,549,0,2,4,54
1,1,2,529,0,3,26,7
1,1,2,578,1,3,3,73
0,1,1,490,0,3,20,49
1,0,1,553,1,1,11,15
0,0,2,538,1,4,15,37
1,1,3,553,0,3,10,67
1,1,1,535,1,3,7,7
0,0,3,520,1,4,7,48
0,0,2,493,0,3,4,56
1,0,1,553,1,2,2,24
0,0,1,518,1,1,3,26
0,0,3,493,1,2,2,44
0,1,2,532,0,3,2,55
0,1,1,458,0,3,4,71
1,1,2,526,1,3,12,62
0,0,3,484,0,2,2,20
1,0,3,567,1,1,17,14
1,0,1,562,0,1,14,53
1,1,1,470,1,3,12,66
1,1,1,532,0,3,5,68
1,0,3,479,1,2,2,44
1,1,3,549,0,3,9,63
0,1,1,518,1,3,11,11
1,1,3,497,0,3,23,34
1,1,2,512,1,4,12,2
0,1,1,486,0,2,5,36
1,1,1,572,0,2,18,36
1,0,1,505,1,1,2,16
1,0,1,601,0,2,2,23
0,1,2,484,0,3,9,5
0,1,2,553,0,2,13,52
