"gender","ethnicity","star1","math1","lunch1","school1","experience1","schoolid1","lunch1_school"
0,1,1,538,1,3,7,63,0.4140625
0,0,0,481,1,2,1,51,0.399141630901288
1,0,1,567,1,2,14,51,0.399141630901288
0,1,1,507,1,3,4,66,0.341666666666667
0,1,0,538,1,3,42,63,0.4140625
1,1,2,557,0,4,8,9,0.346456692913386
1,1,2,463,1,3,8,66,0.341666666666667
1,0,0,567,1,1,5,27,0.839416058394161
0,1,2,627,0,4,8,9,0.346456692913386
0,1,1,449,0,2,23,51,0.399141630901288
0,1,1,526,1,4,18,9,0.346456692913386
0,0,0,490,0,1,1,22,0.91869918699187
0,0,0,526,0,1,5,27,0.839416058394161
0,0,2,553,1,1,3,27,0.839416058394161
1,0,2,518,1,1,6,22,0.91869918699187
1,0,0,493,1,1,1,22,0.91869918699187
1,0,1,477,1,1,4,32,0.950819672131147
1,1,1,529,0,4,20,9,0.346456692913386
0,0,2,439,1,2,2,51,0.399141630901288
0,1,1,592,0,3,8,66,0.341666666666667
1,0,1,538,1,1,13,19,0.957627118644068
1,0,0,493,0,2,1,51,0.399141630901288
0,0,1,461,1,1,13,19,0.957627118644068
1,0,1,578,1,1,9,22,0.91869918699187
1,1,2,592,1,2,4,51,0.399141630901288
0,0,2,488,1,1,6,22,0.91869918699187
0,0,2,535,1,1,24,27,0.839416058394161
0,0,1,538,1,1,17,27,0.839416058394161
1,0,0,481,1,1,1,22,0.91869918699187
0,1,2,512,1,3,8,66,0.341666666666667
0,0,2,549,1,1,24,22,0.91869918699187
1,0,0,484,1,1,25,27,0.839416058394161
0,0,0,518,1,1,1,22,0.91869918699187
1,1,1,601,0,3,7,63,0.4140625
0,0,0,484,1,1,5,27,0.839416058394161
1,1,1,490,1,3,15,63,0.4140625
1,1,0,470,1,3,12,66,0.341666666666667
1,1,2,549,0,3,9,63,0.4140625
0,1,2,549,1,3,9,63,0.4140625
1,0,0,532,0,1,5,27,0.839416058394161
1,0,1,553,1,1,9,22,0.91869918699187
1,0,0,472,1,1,4,32,0.950819672131147
0,0,0,553,0,3,21,63,0.4140625
1,0,1,557,0,2,14,51,0.399141630901288
1,0,0,468,1,1,15,19,0.957627118644068
0,1,0,572,0,3,12,66,0.341666666666667
0,0,0,490,1,1,5,27,0.839416058394161
1,0,0,461,1,1,0,32,0.950819672131147
0,0,2,500,1,2,20,51,0.399141630901288
0,0,2,490,1,1,24,22,0.91869918699187
0,0,2,557,1,1,24,27,0.839416058394161
0,0,0,477,1,3,21,63,0.4140625
1,1,0,542,1,3,12,66,0.341666666666667
1,0,0,481,1,3,21,63,0.4140625
1,0,2,493,1,1,6,22,0.91869918699187
0,1,2,495,0,3,8,66,0.341666666666667
0,1,1,567,1,3,7,63,0.4140625
0,0,2,458,1,1,27,19,0.957627118644068
1,0,1,553,1,1,6,22,0.91869918699187
1,0,0,497,1,1,15,19,0.957627118644068
0,0,0,481,1,2,1,51,0.399141630901288
0,0,0,484,1,1,1,22,0.91869918699187
0,0,0,507,1,1,3,19,0.957627118644068
1,0,2,468,1,1,24,22,0.91869918699187
1,0,1,512,1,1,6,22,0.91869918699187
0,1,1,562,0,2,23,51,0.399141630901288
0,0,0,572,1,4,11,9,0.346456692913386
0,0,1,488,1,1,3,22,0.91869918699187
0,1,1,553,0,3,8,63,0.4140625
1,0,1,479,1,1,6,22,0.91869918699187
0,1,2,592,0,3,16,63,0.4140625
1,1,0,578,0,4,11,9,0.346456692913386
1,0,0,538,0,3,12,66,0.341666666666667
1,0,2,468,1,2,2,51,0.399141630901288
1,1,0,601,0,4,20,9,0.346456692913386
0,0,2,526,1,3,9,63,0.4140625
1,1,2,495,1,4,8,9,0.346456692913386
1,1,0,542,0,2,1,51,0.399141630901288
1,0,0,490,0,1,4,32,0.950819672131147
0,0,1,538,1,1,9,19,0.957627118644068
1,0,1,612,1,1,9,22,0.91869918699187
1,0,0,484,1,2,1,51,0.399141630901288
1,1,2,562,0,3,9,63,0.4140625
1,0,1,549,1,1,32,27,0.839416058394161
0,0,0,520,1,1,0,32,0.950819672131147
0,0,0,461,1,1,25,27,0.839416058394161
1,0,0,470,1,1,3,19,0.957627118644068
0,0,0,505,1,1,3,19,0.957627118644068
1,1,2,592,0,4,8,9,0.346456692913386
0,1,0,562,0,3,42,63,0.4140625
0,0,0,458,1,1,15,19,0.957627118644068
1,1,0,500,0,2,1,51,0.399141630901288
0,0,1,502,0,2,23,51,0.399141630901288
0,0,2,465,1,1,27,19,0.957627118644068
1,0,0,474,1,1,5,27,0.839416058394161
0,1,2,584,1,2,4,51,0.399141630901288
0,0,0,497,0,1,25,27,0.839416058394161
1,1,2,490,1,3,8,66,0.341666666666667
